,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,blocked,users_tr,posts_tr,hate_tr,url_tr
895,whinge.town,1110.0,62.0,1597.0,114.0,1.4050632911392404,0.07848101265822785,2.024081115335868,0.1444866920152091,21.0,6817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2208860759493671,0.036708860759493665,0.3177215189873417,0.026582278481012658,43259,28137,5,0,0.0,0.0,0.0,0.0,1.0,0,1.661000956165023,4.354439046468617,3.217761342064396,1.9894450506813213
896,wirebug.ch,21521.0,2329.0,13808.0,3877.0,1.3833644018769686,0.14970752715819247,0.8876317819490872,0.24922859346875806,10.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22738959953718585,0.06874718776113646,0.3156135501703413,0.058912386706948636,450332,10780,6,42,0.0,0.0,0.0,0.0,1.0,0,1.4677992676220695,3.026171498845803,5.274043909758471,3.640784006948894
897,wizard.estate,7308.0,1645.0,3203.0,1672.0,1.7964601769911503,0.4043756145526057,0.7875583968527171,0.4111138431276125,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889626352015733,0.16924778761061948,0.3187069813176008,0.08321042281219272,557093,26416,1,91,0.0,0.0,0.0,0.0,0.0,0,1.2009369551760027,1.6475489724420656,4.405208039237419,3.4357982202206854
898,wordsmith.reverie.club,10771.0,746.0,9336.0,401.0,1.2602082602082605,0.08728208728208728,1.0924409080271469,0.046922536859349405,2.0,20.0,5.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.2248157248157248,0.03779103779103779,0.343980343980344,0.014976014976014975,1174,1512,3,8,0.0,0.0,0.0,0.0,0.0,0,1.122462048309373,1.6475489724420656,4.699402796454433,3.0115481036729363
899,wut.m0r016.net,38685.0,17428.0,33592.0,14831.0,0.1929503421582906,0.08692616164235979,0.16754866802001087,0.0739733953145029,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03438042415657483,0.04157522494663129,0.07490573189952716,0.026245436226881868,466365,9800,16,0,0.0,0.0,0.0,0.0,1.0,0,1.2599210498948732,1.6188704068605666,5.815545173236556,5.091838164440803
900,www.banepo.st,964308.0,37315.0,1001398.0,99054.0,1.8452971433820156,0.07140588163252809,1.916276132612544,0.18954982538391615,5.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403162410826368,0.03372619485012706,0.33601332629129543,0.042466550319953465,5832,3491,8,72,0.0,0.0,0.0,0.0,0.0,0,1.3076604860118306,2.3997844112528943,9.939608869733512,5.780701901714297
901,www.extropian.net,539.0,47.0,281.0,26.0,1.7220447284345048,0.1501597444089457,0.9006410256410257,0.08333333333333333,25.0,958.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.268370607028754,0.06230031948881789,0.26677316293929715,0.019169329073482427,1153,902,3,5,0.0,0.0,0.0,0.0,1.0,0,1.7099759466766968,3.1397440891510766,2.8527570952322074,1.8996910486020337
902,www2.patriot.online,179698.0,5158.0,2315.0,1751.0,17.671157439276236,0.5072278493460517,0.2276750590086546,0.17220692368214005,675.0,9163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305241420001967,0.18984167568099125,0.07444193136001573,0.03486085160782771,152,456,5,18,0.0,0.0,0.0,0.0,0.0,0,2.9617652193647284,4.574457683128179,7.512028159552754,4.156682850193699
903,xarxa.educoop.coop,469.0,81.0,288.0,82.0,1.9541666666666664,0.3375,1.205020920502092,0.34309623430962344,2.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29791666666666666,0.14583333333333334,0.3375,0.08958333333333332,2904,1129,1,3,0.0,0.0,0.0,0.0,0.0,0,1.122462048309373,1.3480061545972777,2.787375470164094,2.080083823051904
904,xiii.ch,268.0,6.0,194.0,5.0,1.3604060913705585,0.030456852791878174,0.9897959183673468,0.025510204081632654,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461928934010152,0.015228426395939087,0.3654822335025381,0.012690355329949237,778,444,1,0,0.0,0.0,0.0,0.0,1.0,0,1.414213562373095,1.122462048309373,2.5391545300093323,1.3480061545972777
905,xn--netzsphre-12a.xyz,6694.0,397.0,5248.0,838.0,1.4318716577540107,0.08491978609625668,1.1228070175438596,0.17928968763371844,20.0,78184.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23240641711229945,0.040213903743315516,0.28866310160427805,0.057540106951871665,471077,28106,6,16,0.0,0.0,0.0,0.0,0.0,0,1.6475489724420656,6.5391251255548335,4.341244885514446,2.711013942522706
906,xn--p1abe3d.xn--80asehdb,37309.0,3188.0,66749.0,5559.0,1.517427909057632,0.1296620165127913,2.7149190596274306,0.2261042869925974,3.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23343636881278726,0.062166998820514914,0.2853133769878391,0.06944726888192948,20135,6841,5,1,0.0,0.0,0.0,0.0,0.0,1,1.2009369551760027,3.524550077423863,5.780546975029839,3.8363632210443868
907,xn--xckta9b2cyc.page,113.0,11.0,27.0,4.0,2.825,0.275,0.675,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1375,0.125,0.0375,622,413,1,1,0.0,0.0,0.0,0.0,0.0,0,1.0,1.122462048309373,2.198769684871892,1.4913014754131089
908,xxx-stg.azyobuzi.net,12.0,7.0,0.0,0.0,0.3636363636363637,0.21212121212121213,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.10606060606060606,0.0,0.0,11,2,0,1,0.0,0.0,0.0,0.0,1.0,0,1.2599210498948732,1.4677992676220695,1.5130857494229015,1.3830875542684884
909,xxx.azyobuzi.net,22122.0,11687.0,15007.0,5387.0,0.21102536463450694,0.11148419837643443,0.14315558523323474,0.051387961461413716,136.0,10068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03931566044395265,0.05372456620656104,0.060568915683337936,0.017594986215909415,482279,8935,12,5,0.0,0.0,0.0,0.0,1.0,0,2.267722024701544,4.646834457940411,5.2983104033391895,4.763766953182333
910,xyzzy.link,10014.0,470.0,8763.0,484.0,1.0128451501972286,0.04753717002124001,0.8864050171960348,0.04895812259761279,10.0,16373.0,3.0,0.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18549610599777488,0.022959441691109538,0.3034287448164256,0.014766865581066047,33554,23890,12,14,0.0,0.0,0.0,0.0,0.0,0,1.4677992676220695,5.039120112252195,4.6426712397754555,2.7883651298462664
911,yeahnahcunt.club,12065.0,581.0,9951.0,1442.0,1.6455264593562466,0.0792416803055101,1.3573864411403629,0.1966989496658028,4.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25470540098199673,0.03280141843971631,0.3316284779050737,0.03696126568466994,8236,3132,5,17,0.0,0.0,0.0,0.0,0.0,0,1.2599210498948732,2.3372110669088912,4.78910715499102,2.8886573020839372
912,yeehaw.town,5113.0,211.0,2145.0,158.0,1.1612536906654554,0.04792187145128322,0.4872785097682871,0.03589277601090413,8.0,159.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22371110606404726,0.02293890529184647,0.21621621621621626,0.012264365205541677,283647,2624,3,86,0.0,0.0,0.0,0.0,0.0,1,1.414213562373095,2.3275526879057282,4.150616728644784,2.439947092282751
913,yggdrasil.social,34381.0,1989.0,30422.0,3302.0,1.5517692724318468,0.0897725221159054,1.3731437598736176,0.1490408485669149,68.0,25615.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237565445026178,0.036716916410904486,0.3335890955046037,0.030330384545946918,60495,10518,17,28,0.0,0.0,0.0,0.0,0.0,1,2.0203106449052206,5.429365263493363,5.702339680394881,3.54627543616537
914,yo.isurf.ca,1927.0,203.0,2022.0,327.0,1.1269005847953215,0.11871345029239765,1.1831480397893506,0.1913399648917496,16.0,486.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20730994152046786,0.05175438596491228,0.29269005847953217,0.04707602339181287,382324,8101,3,14,0.0,0.0,0.0,0.0,0.0,0,1.5874010519681994,2.8039657955522013,3.527607731462935,2.4242794103012835
915,yokai.cafe,42570.0,4084.0,40218.0,4265.0,0.9628172072194328,0.09236893291717556,0.9096419605093524,0.0964648406577251,8.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17119012077622472,0.04033790202198399,0.2960600714705749,0.02344280092278464,42615,27941,7,24,0.0,0.0,0.0,0.0,0.0,0,1.414213562373095,2.7376652874044063,5.909044696476295,3.998044486536769
916,youdabomb.social,10429.0,994.0,5489.0,1562.0,1.5409278959810877,0.1468676122931442,0.8111423082606768,0.230826067681395,9.0,9388.0,6.0,6.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24859633569739956,0.06818853427895981,0.2876034278959811,0.05769799054373523,384271,11751,9,39,0.0,0.0,0.0,0.0,1.0,0,1.4422495703074083,4.592990144128395,4.674198064495579,3.1591074477027488
917,yuan.dudu.best,4062.0,1133.0,4758.0,1318.0,0.2832833530929633,0.07901527303159216,0.331845445668852,0.09192355977123727,271.0,10028.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058093311946439775,0.032952088709115,0.13623683659948393,0.029221005648929488,3182,1684,18,20,0.0,0.0,0.0,0.0,0.0,0,2.5438698132884796,4.643752385630113,3.994446908455083,3.2287789880954496
918,yuntalk.mywire.org,342.0,308.0,543.0,229.0,0.0976306023408507,0.0879246360262632,0.15505425471159334,0.0653912050256996,7.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211247502141022,0.04153582643448473,0.05395375392520697,0.020411076220382532,7799,10538,2,9,0.0,0.0,0.0,0.0,0.0,0,1.3830875542684884,2.360519996852944,2.644464153128355,2.5987138004585693
919,zoinks.one,90887.0,8965.0,43813.0,12272.0,1.6345406805265807,0.16122940795626214,0.7879610812366239,0.2207075157815226,19.0,1920.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598733904035681,0.07138874901086252,0.28854938493633553,0.05378210200704985,429136,27785,21,79,0.0,0.0,0.0,0.0,0.0,0,1.6335243030704945,3.5254687665352296,6.705280671849162,4.557832725303819
920,zoltasila.pl,10426.0,921.0,5558.0,1075.0,1.7148026315789473,0.15148026315789473,0.9142951143280144,0.17683829577233098,63.0,1879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26620065789473685,0.06529605263157895,0.3044407894736842,0.04358552631578947,530734,1928,5,74,0.0,0.0,0.0,0.0,1.0,0,1.994757430841252,3.5128084060358002,4.6739739414538946,3.1192003556604595
921,zombienet.org,65761.0,4029.0,26337.0,5743.0,1.771244646753037,0.10851940636194683,0.7093950331304207,0.15468943597478854,5.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676623481563283,0.04692003124410806,0.2814663183128181,0.031055566030112856,484149,11857,3,136,0.0,0.0,0.0,0.0,0.0,0,1.3076604860118306,3.049364509990762,6.353232293984196,3.989019976730479
